시군,시도,용도지역구분,용도지역,건폐율_값,건폐율_단위,건폐율_출처조문,용적률_값,용적률_단위,용적률_출처조문,시행일,조례번호,조회일
칠곡군,경북,도시지역-상업,중심상업지역,80,% 이하,제81조제1항,1300,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-상업,일반상업지역,80,% 이하,제81조제1항,1100,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-상업,근린상업지역,70,% 이하,제81조제1항,900,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-상업,유통상업지역,80,% 이하,제81조제1항,900,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-공업,전용공업지역,70,% 이하,제81조제1항,300,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-공업,일반공업지역,70,% 이하,제81조제1항,350,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-공업,준공업지역,70,% 이하,제81조제1항,400,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-녹지,보전녹지지역,20,% 이하,제81조제1항,80,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-녹지,생산녹지지역,20,% 이하,제81조제1항,100,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,도시지역-녹지,자연녹지지역,20,% 이하,제81조제1항,100,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,관리지역,보전관리지역,20,% 이하,제81조제1항,80,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,관리지역,생산관리지역,20,% 이하,제81조제1항,80,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,관리지역,계획관리지역,40,% 이하,제81조제1항,100,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,농림지역,농림지역,20,% 이하,제81조제1항,80,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
칠곡군,경북,자연환경보전지역,자연환경보전지역,20,% 이하,제81조제1항,80,% 이하,제85조제1항,2025.12.26,2839,2026-09-21
예천군,경북,도시지역-주거,제1종전용주거지역,50,% 이하,제53조제1항,100,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-주거,제2종전용주거지역,50,% 이하,제53조제1항,150,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-주거,제1종일반주거지역,60,% 이하,제53조제1항,200,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-주거,제2종일반주거지역,60,% 이하,제53조제1항,250,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-주거,제3종일반주거지역,50,% 이하,제53조제1항,300,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-주거,준주거지역,70,% 이하,제53조제1항,500,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-상업,중심상업지역,90,% 이하,제53조제1항,1500,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-상업,일반상업지역,80,% 이하,제53조제1항,1300,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-상업,근린상업지역,70,% 이하,제53조제1항,900,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-상업,유통상업지역,80,% 이하,제53조제1항,1100,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-공업,전용공업지역,70,% 이하,제53조제1항,300,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-공업,일반공업지역,70,% 이하,제53조제1항,350,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-공업,준공업지역,70,% 이하,제53조제1항,400,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-녹지,보전녹지지역,20,% 이하,제53조제1항,80,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-녹지,생산녹지지역,20,% 이하,제53조제1항,100,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,도시지역-녹지,자연녹지지역,20,% 이하,제53조제1항,100,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,관리지역,보전관리지역,20,% 이하,제53조제1항,80,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,관리지역,생산관리지역,20,% 이하,제53조제1항,80,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,관리지역,계획관리지역,40,% 이하,제53조제1항,100,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,농림지역,농림지역,20,% 이하,제53조제1항,80,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
예천군,경북,자연환경보전지역,자연환경보전지역,20,% 이하,제53조제1항,80,% 이하,제61조제1항,2025.12.24,2723,2026-09-21
봉화군,경북,도시지역-주거,제1종전용주거지역,50,% 이하,제30조제1항,100,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-주거,제2종전용주거지역,50,% 이하,제30조제1항,150,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-주거,제1종일반주거지역,60,% 이하,제30조제1항,200,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-주거,제2종일반주거지역,60,% 이하,제30조제1항,250,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-주거,제3종일반주거지역,50,% 이하,제30조제1항,300,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-주거,준주거지역,70,% 이하,제30조제1항,500,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-상업,중심상업지역,90,% 이하,제30조제1항,1500,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-상업,일반상업지역,80,% 이하,제30조제1항,1300,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-상업,근린상업지역,70,% 이하,제30조제1항,900,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-상업,유통상업지역,80,% 이하,제30조제1항,1100,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-공업,전용공업지역,70,% 이하,제30조제1항,200,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-공업,일반공업지역,70,% 이하,제30조제1항,250,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-공업,준공업지역,70,% 이하,제30조제1항,300,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-녹지,보전녹지지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-녹지,생산녹지지역,20,% 이하,제30조제1항,100,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,도시지역-녹지,자연녹지지역,20,% 이하,제30조제1항,100,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,관리지역,보전관리지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,관리지역,생산관리지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,관리지역,계획관리지역,40,% 이하,제30조제1항,100,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,농림지역,농림지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
봉화군,경북,자연환경보전지역,자연환경보전지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2025.12.15,3553,2026-09-21
울진군,경북,도시지역-주거,제1종전용주거지역,50,% 이하,제57조제1항,100,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-주거,제2종전용주거지역,50,% 이하,제57조제1항,150,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-주거,제1종일반주거지역,60,% 이하,제57조제1항,200,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-주거,제2종일반주거지역,60,% 이하,제57조제1항,250,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-주거,제3종일반주거지역,50,% 이하,제57조제1항,300,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-주거,준주거지역,70,% 이하,제57조제1항,500,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-상업,중심상업지역,90,% 이하,제57조제1항,1500,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-상업,일반상업지역,80,% 이하,제57조제1항,1300,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-상업,근린상업지역,70,% 이하,제57조제1항,900,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-상업,유통상업지역,80,% 이하,제57조제1항,1100,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-공업,전용공업지역,70,% 이하,제57조제1항,300,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-공업,일반공업지역,70,% 이하,제57조제1항,350,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-공업,준공업지역,70,% 이하,제57조제1항,400,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-녹지,보전녹지지역,20,% 이하,제57조제1항,80,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-녹지,생산녹지지역,20,% 이하,제57조제1항,100,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,도시지역-녹지,자연녹지지역,20,% 이하,제57조제1항,100,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,관리지역,보전관리지역,20,% 이하,제57조제1항,80,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,관리지역,생산관리지역,20,% 이하,제57조제1항,80,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,관리지역,계획관리지역,40,% 이하,제57조제1항,100,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,농림지역,농림지역,20,% 이하,제57조제1항,80,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울진군,경북,자연환경보전지역,자연환경보전지역,20,% 이하,제57조제1항,80,% 이하,제62조제1항,2023.5.1,2631,2026-09-21
울릉군,경북,도시지역-주거,제1종일반주거지역,60,% 이하,제31조제1항,200,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-주거,제2종일반주거지역,60,% 이하,제31조제1항,250,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-주거,제3종일반주거지역,50,% 이하,제31조제1항,300,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-주거,준주거지역,70,% 이하,제31조제1항,500,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-상업,일반상업지역,80,% 이하,제31조제1항,1300,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-공업,일반공업지역,70,% 이하,제31조제1항,350,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-녹지,보전녹지지역,20,% 이하,제31조제1항,80,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,도시지역-녹지,자연녹지지역,20,% 이하,제31조제1항,100,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,관리지역,보전관리지역,20,% 이하,제31조제1항,80,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,관리지역,생산관리지역,20,% 이하,제31조제1항,80,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,관리지역,계획관리지역,40,% 이하,제31조제1항,100,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,농림지역,농림지역,20,% 이하,제31조제1항,80,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
울릉군,경북,자연환경보전지역,자연환경보전지역,20,% 이하,제31조제1항,80,% 이하,제35조제1항,2026.4.20,2248,2026-09-21
진주시,경남,도시지역-주거,제1종전용주거지역,,,제51조제1항,80,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-주거,제2종전용주거지역,,,제51조제1항,120,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-주거,제1종일반주거지역,,,제51조제1항,180,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-주거,제2종일반주거지역,,,제51조제1항,230,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-주거,제3종일반주거지역,,,제51조제1항,270,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-주거,준주거지역,,,제51조제1항,300,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-상업,중심상업지역,,,제51조제1항,800,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-상업,일반상업지역,,,제51조제1항,900,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-상업,근린상업지역,,,제51조제1항,400,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-상업,유통상업지역,,,제51조제1항,400,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-공업,전용공업지역,,,제51조제1항,300,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-공업,일반공업지역,,,제51조제1항,350,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-공업,준공업지역,,,제51조제1항,400,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-녹지,보전녹지지역,,,제51조제1항,60,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-녹지,생산녹지지역,,,제51조제1항,60,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,도시지역-녹지,자연녹지지역,,,제51조제1항,80,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,관리지역,보전관리지역,,,제51조제1항,60,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,관리지역,생산관리지역,,,제51조제1항,60,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,관리지역,계획관리지역,,,제51조제1항,100,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,농림지역,농림지역,,,제51조제1항,60,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
진주시,경남,자연환경보전지역,자연환경보전지역,,,제51조제1항,50,% 이하,제58조제1항,2026.5.4,2209,2026-09-21
통영시,경남,도시지역-주거,제1종전용주거지역,40,% 이하,제61조제1항,80,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-주거,제2종전용주거지역,50,% 이하,제61조제1항,150,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-주거,제1종일반주거지역,60,% 이하,제61조제1항,200,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-주거,제2종일반주거지역,60,% 이하,제61조제1항,250,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-주거,제3종일반주거지역,50,% 이하,제61조제1항,300,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-주거,준주거지역,70,% 이하,제61조제1항,350,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-상업,중심상업지역,90,% 이하,제61조제1항,1000,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
통영시,경남,도시지역-상업,일반상업지역,80,% 이하,제61조제1항,800,% 이하,제62조제1항,2026.1.2,2028,2026-09-21
